"abandon ","v","əˈbændən ","bỏ rơi"
"absolute ","adj","ˈæbsəˌlut ","tuyệt đối"
"academic ","n","ˌækəˈdɛmɪk ","học thuật"
"acceptable ","adj","ækˈsɛptəbəl ","chấp nhận được"
"accompany ","v","əˈkʌmpəni ","đồng hành"
"account ","v","əˈkaʊnt ","tài khoản"
"accurate ","adj","ˈækjərət ","chính xác"
"accuse ","v","əˈkjuz ","buộc tội"
"acknowledge ","v","ækˈnɑlɪʤ ","thừa nhận"
"acquire ","v","əˈkwaɪər ","giành được"
"actual ","adj","ˈækʧuəl ","thật sự"
"adapt ","v","əˈdæpt ","thích nghi"
"additional ","adj","əˈdɪʃənəl ","thêm vào"
"address ","v","ˈæˌdrɛs ","Địa chỉ"
"administration ","n","ædˌmɪnɪˈstreɪʃən ","sự quản lý"
"adopt ","v","əˈdɑpt ","nhận nuôi"
"advance ","n, v, adj","ədˈvæns ","nâng cao"
"affair ","n","əˈfɛr ","công việc"
"afterwards ","adv","ˈæftərwərdz ","sau đó"
"agency ","n","ˈeɪʤənsi ","hãng"
"agenda ","n","əˈʤɛndə ","chương trình nghị sự"
"aggressive ","adj","əˈɡrɛsɪv ","hung dữ"
"aid ","n, v","eɪd ","sự giúp đỡ"
"aircraft ","n","ˈɛrˌkræft ","phi cơ"
"alarm ","v","əˈlɑrm ","báo thức"
"alter ","v","ˈɔltər ","thay đổi"
"amount ","v","əˈmaʊnt ","số lượng"
"anger ","n","ˈæŋɡər ","sự tức giận"
"angle ","n","ˈæŋɡəl ","góc"
"anniversary ","n","ˌænəˈvɜrsəri ","dịp kỉ niệm"
"annual ","adj","ˈænjuəl ","hàng năm"
"anxious ","adj","ˈæŋkʃəs ","lo lắng"
"apparent ","adj","əˈpɛrənt ","rõ ràng"
"apparently ","adv","əˈpɛrəntli ","rõ ràng"
"appeal ","n, v","əˈpil ","bắt mắt"
"approach ","n, v","əˈproʊʧ ","tiếp cận"
"appropriate ","adj","əˈproʊpriət ","phù hợp"
"approval ","n","əˈpruvəl ","sự chấp thuận"
"approve ","v","əˈpruv ","chấp thuận"
"arise ","v","əˈraɪz ","nảy sinh"
"armed ","adj","ɑrmd ","vũ trang"
"arms ","n","ɑrmz ","cánh tay"
"artificial ","adj","ˌɑrtəˈfɪʃəl ","nhân tạo"
"artistic ","adj","ɑrˈtɪstɪk ","thuộc về nghệ thuật"
"ashamed ","adj","əˈʃeɪmd ","hổ thẹn"
"aspect ","n","ˈæˌspɛkt ","diện mạo"
"assess ","v","əˈsɛs ","đánh giá"
"assessment ","n","əˈsɛsmənt ","đánh giá"
"associate ","v","əˈsoʊsiət ","kết hợp"
"associated ","adj","əˈsoʊsiˌeɪtəd ","có liên quan"
"association ","n","əˌsoʊsiˈeɪʃən ","sự kết hợp"
"assume ","v","əˈsum ","cho rằng"
"attempt ","n, v","əˈtɛmpt ","nỗ lực"
"back ","v","bæk ","mặt sau"
"bacteria ","n","bækˈtɪriə ","vi khuẩn"
"bar ","v","bɑr ","quán ba"
"barrier ","n","ˈbæriər ","rào chắn"
"basically ","adv","ˈbeɪsɪkli ","về cơ bản"
"battle ","v","ˈbætəl ","trận đánh"
"bear ","(deal with) v","bɛr ","con gấu"
"beat ","n","bit ","tiết tấu"
"beg ","v","bɛɡ ","ăn xin"
"being ","n","ˈbiɪŋ ","hiện tại"
"bent ","adj","bɛnt ","uốn cong"
"bet ","v, n","bɛt ","cá cược"
"beyond ","prep, adv","bɪˈɑnd ","vượt ra"
"bill ","v","bɪl ","hóa đơn"
"bitter ","adj","ˈbɪtər ","vị đắng"
"blame ","v, n","bleɪm ","đổ tội"
"blind ","adj","blaɪnd ","mù"
"bond ","n","bɑnd ","liên kết"
"border ","v","ˈbɔrdər ","ranh giới"
"breast ","n","brɛst ","nhũ hoa"
"brief ","adj","brif ","ngắn gọn"
"broad ","adj","brɔd ","rộng lớn"
"broadcast ","v, n","ˈbrɔdˌkæst ","phát tin"
"budget ","n","ˈbʌʤɪt ","ngân sách"
"bullet ","n","ˈbʊlət ","đạn"
"bunch ","n","bʌnʧ ","bó"
"burn ","n","bɜrn ","đốt cháy"
"bush ","n","bʊʃ ","bụi cây"
"but ","prep","bʌt ","Nhưng"
"cable ","n","ˈkeɪbəl ","cáp"
"calculate ","v","ˈkælkjəˌleɪt ","tính toán"
"cancel ","v","ˈkænsəl ","Hủy bỏ"
"cancer ","n","ˈkænsər ","bệnh ung thư"
"capable ","adj","ˈkeɪpəbəl ","có khả năng"
"capacity ","n","kəˈpæsəti ","dung tích"
"capture ","v, n","ˈkæpʧər ","chiếm lấy"
"cast ","n, v","kæst ","dàn diễn viên"
"catch ","n","kæʧ ","nắm lấy"
"cell ","n","sɛl ","tế bào"
"chain ","v","ʧeɪn ","xích"
"chair ","v","ʧɛr ","cái ghế"
"chairman ","n","ˈʧɛrmən ","Chủ tịch"
"challenge ","v","ˈʧælənʤ ","thử thách"
"characteristic ","n, adj","ˌkɛrəktəˈrɪstɪk ","đặc trưng"
"chart ","v","ʧɑrt ","đồ thị"
"chief ","adj, n","ʧif ","người đứng đầu"
"circumstance ","n","ˈsɜrkəmˌstæns ","hoàn cảnh"
"cite ","v","saɪt ","trích dẫn"
"citizen ","n","ˈsɪtəzən ","công dân"
"civil ","adj","ˈsɪvəl ","dân sự"
"classic ","adj, n","ˈklæsɪk ","cổ điển"
"close ","n","kləʊz","sự kết thúc"
"closely ","adv","ˈkloʊsli ","chặt chẽ"
"collapse ","v, n","kəˈlæps ","sụp đổ"
"combination ","n","ˌkɑmbəˈneɪʃən ","sự kết hợp"
"comfort ","n, v","ˈkʌmfərt ","an ủi"
"command ","n, v","kəˈmænd ","yêu cầu"
"commission ","n, v","kəˈmɪʃən ","nhiệm vụ"
"commitment ","n","kəˈmɪtmənt ","sự cam kết"
"committee ","n","kəˈmɪti ","ủy ban"
"commonly ","adv","ˈkɑmənli ","thông thường"
"complex ","n","ˈkɑmplɛks ","tổ hợp"
"complicated ","adj","ˈkɑmpləˌkeɪtəd ","phức tap"
"component ","n","kəmˈpoʊnənt ","thành phần"
"concentration ","n","ˌkɑnsənˈtreɪʃən ","sự tập trung"
"concept ","n","ˈkɑnsɛpt ","ý tưởng"
"concern ","n, v","kənˈsɜrn ","bận tâm"
"concerned ","adj","kənˈsɜrnd ","lo âu"
"conduct ","v, n","ˈkɑndʌkt ","chỉ đạo"
"confidence ","n","ˈkɑnfədəns ","sự tự tin"
"conflict ","n, v","ˈkɑnflɪkt ","xung đột"
"confusing ","adj","kənˈfjuzɪŋ ","gây nhầm lẫn"
"conscious ","adj","ˈkɑnʃəs ","biết rõ"
"conservative ","adj, n","kənˈsɜrvətɪv ","thận trọng"
"consideration ","n","kənˌsɪdəˈreɪʃən ","Sự xem xét"
"consistent ","adj","kənˈsɪstənt ","nhất quán"
"constant ","adj","ˈkɑnstənt ","không thay đổi"
"constantly ","adv","ˈkɑnstəntli ","liên tục"
"construct ","v","kənˈstrʌkt ","xây dựng"
"construction ","n","kənˈstrʌkʃən ","sự thi công"
"contemporary ","adj","kənˈtɛmpəˌrɛri ","đồng thời"
"contest ","n, v","ˈkɑntɛst ","cuộc thi"
"contract ","n, v","ˈkɑnˌtrækt ","hợp đồng"
"contribute ","v","kənˈtrɪbjut ","đóng góp"
"contribution ","n","ˌkɑntrəˈbjuʃən ","sự đóng góp"
"convert ","v","ˈkɑnvɜrt ","chuyển thành"
"convinced ","adj","kənˈvɪnst ","bị thuyết phục"
"core ","n, adj","kɔr ","cốt lõi"
"corporate ","adj","ˈkɔrpərət ","công ty"
"council ","n","ˈkaʊnsəl ","hội đồng"
"county ","n","ˈkaʊnti ","quận"
"courage ","n","ˈkɜrəʤ ","lòng can đảm"
"crash ","n, v","kræʃ ","tai nạn"
"creation ","n","kriˈeɪʃən ","sự sáng tạo"
"creature ","n","ˈkriʧər ","sinh vật"
"credit ","v","ˈkrɛdət ","tín dụng"
"crew ","n","kru ","phi hành đoàn"
"crisis ","n","ˈkraɪsəs ","khủng hoảng"
"criterion ","n","kraɪˈtɪriən ","tiêu chuẩn"
